SID,DOM_TYPE,DESL_MEAN,CLAT_MEAN,CLON_MEAN,YEAR_START,MONTH_START,DAY_START,AREA_MAX,AREA_MEAN,OVERLAP_MEAN,DURATION,BI_MAX,BI_MEAN,Z500_MAX,Z500_MEAN,PERC_RIDGE,PERC_OMEGA,PERC_HYBRID,PERC_REX,PERC_POLAR
2019071,Ridge,,46.05662240491574,102.66776255507489,2019,6,18,3093924,1922665.0,0.6789999999999999,6,2.135908603668213,1.1966098905271634,5848.0,5828.766666666666,0.8333333333333334,0.16666666666666666,0,0.0,0.0
2019072,Rex block,,66.30278513875771,-40.9094569602232,2019,6,20,6764021,2353261.6470588236,0.6245625,17,3.52170467376709,1.2593435396898212,5833.0,5760.217647058824,0.0,0.0,0,0.8235294117647058,0.17647058823529413
2019073,Ridge,,44.156334179047946,-146.47210867119304,2019,6,20,2174361,1319146.6,0.70425,5,2.227950096130371,1.489537436446864,5914.5,5885.46,1.0,0.0,0,0.0,0.0
2019074,Rex block,,58.49110954036907,-133.69283869371262,2019,6,27,6907428,3831201.65,0.7476315789473683,20,3.273630142211914,1.4872189516302496,5906.2,5817.92,0.15,0.3,0,0.45,0.0
2019075,Rex block (polar),,75.7542655961122,-40.24849261387776,2019,6,28,4576625,2625953.9375,0.6974666666666668,16,2.5915026664733887,0.6440723214702941,5781.5,5695.168750000001,0.0,0.0,0,0.25,0.75
2019076,Ridge,,44.64081507738252,-91.63387923131928,2019,6,28,3527165,1927525.0,0.7855,13,2.2765636444091797,1.5815722147947942,5950.8,5892.407692307693,1.0,0.0,0,0.0,0.0
2019077,Ridge,,44.12430214795643,79.07782281967152,2019,6,29,1733092,1507073.2,0.6795,5,1.993393898010254,1.4166789269041415,5868.5,5841.08,1.0,0.0,0,0.0,0.0
2019078,Rex block (polar),,81.41899567991759,-21.8333493468746,2019,6,29,962828,817790.0,0.7616666666666667,4,0.8857965469360352,0.15946448524952467,5631.2,5607.725,0.0,0.0,0,0.0,1.0
2019079,Ridge,,47.56616530866631,-15.306687543192911,2019,7,6,1921987,1258589.6666666667,0.6536249999999999,9,2.7053475379943848,1.9343404758898382,5911.2,5872.044444444445,1.0,0.0,0,0.0,0.0
2019080,Ridge,,45.68875122593133,-98.89718233776333,2019,7,10,1542516,1016405.1111111111,0.814375,9,2.6714086532592773,1.433167147347343,5918.8,5879.622222222221,1.0,0.0,0,0.0,0.0
2019081,Rex block (polar),,81.121380576052,-87.2384298922865,2019,7,11,919752,810950.25,0.8343333333333334,4,0.9184956550598145,0.32363271298968577,5590.2,5572.55,0.0,0.0,0,0.0,1.0
2019082,Rex block,,63.20510145983457,89.76658035643504,2019,7,12,3809064,2359443.6153846155,0.72775,13,3.1148672103881836,1.9228205449597764,5877.2,5826.115384615385,0.0,0.3076923076923077,0,0.6923076923076923,0.0
2019083,Ridge,,52.34214720396116,36.21807927287398,2019,7,16,3998923,2324700.076923077,0.7182500000000002,13,3.68729829788208,1.709028863347809,5942.8,5904.676923076923,0.6153846153846154,0.23076923076923078,0,0.15384615384615385,0.0
2019084,Rex block,,67.88422211517795,-44.550568535212065,2019,7,19,3118878,2508355.4,0.7737499999999999,5,1.9478440284729004,0.8394139274483724,5675.5,5654.780000000001,0.0,0.0,0,1.0,0.0
2019085,Ridge,,46.9375276772696,58.51184898009341,2019,7,20,1854763,1313138.25,0.576,4,1.5549421310424805,0.9690750857703705,5874.8,5857.925,1.0,0.0,0,0.0,0.0
2019086,Rex block,,66.03642448808236,-142.23998338755024,2019,7,21,1833972,1397247.8,0.705,5,3.235602378845215,2.2695125091916273,5775.0,5737.9400000000005,0.0,0.0,0,1.0,0.0
2019087,Ridge,,48.13693689199837,-110.51985407465907,2019,7,21,2248580,1231690.875,0.6162857142857143,8,2.657461166381836,1.4680544284278523,5947.8,5879.6375,1.0,0.0,0,0.0,0.0
2019088,Rex block (polar),,78.7168271007835,-76.94813710138996,2019,7,24,2949371,1928682.8,0.5515,5,1.8358230590820312,0.3448187930340053,5782.2,5700.52,0.0,0.0,0,0.0,1.0
2019089,Rex block (polar),,76.24391750864612,-12.70350730598064,2019,7,28,4857664,2846040.5,0.601,4,2.7376294136047363,0.3038288689146831,5859.8,5786.375,0.0,0.0,0,0.25,0.75
2019090,Rex block,,72.46587406831388,-55.97827770595135,2019,7,29,4280434,2915098.619047619,0.708,21,2.7397751808166504,1.0885625801695225,5868.5,5722.323809523809,0.0,0.0,0,0.6190476190476191,0.38095238095238093
