SID,YEAR,MONTH,DAY,TYPE,CLON,CLAT,DESL,LATMIN,LATMAX,LONMIN,LONMAX,JUL,AREA,AREA_PER_PREV,AREA_PER_DUR,STEP,DURATION,BI_MAX,BI_MEAN,Z500_MAX,Z500_MEAN
2020062,2020,7,6,Ridge,-161.20276027406175,47.02525989875595,413.9649408767371,45.0,50.0,-180.0,177.5,188,2364632,0.816,0.78,10,19,1.555013656616211,1.2980877028571234,5907.5,5857.5
2020062,2020,7,7,Ridge,-162.86835702999826,47.233091203644626,128.103469915514,45.0,52.5,-180.0,-137.5,189,2304747,0.828,0.849,11,19,1.759505271911621,1.4123922044580632,5888.2,5839.4
2020062,2020,7,8,Omega block,-173.412016945502,50.67945748306657,858.8781515259034,45.0,60.0,-180.0,177.5,190,3570328,0.792,0.511,12,19,2.1892428398132324,1.6446846562462885,5911.5,5833.9
2020062,2020,7,9,Rex block (hybrid),-177.33944299345708,52.464217955390374,336.16491763846693,45.0,62.5,-180.0,177.5,191,3420859,0.808,0.843,13,19,2.293086051940918,1.9001699782706596,5925.5,5842.5
2020062,2020,7,10,Rex block,-187.38419709597449,58.28421302201951,904.6375278255477,55.0,62.5,-180.0,177.5,192,1450013,0.367,0.865,14,19,1.979362964630127,1.6625523567199707,5801.0,5776.4
2020062,2020,7,11,Omega block,172.61580290402551,57.80003821047813,53.83778265248625,52.5,62.5,-180.0,177.5,193,3280631,0.709,0.314,15,19,1.6898870468139648,1.2440519034862518,5830.8,5759.6
2020062,2020,7,12,Omega block,-216.9627585495068,59.28965080418048,1709.9662132670617,52.5,67.5,-180.0,177.5,194,4221458,0.819,0.636,16,19,1.808309555053711,1.0337004967785757,5843.8,5738.1
2020062,2020,7,13,Omega block,135.3610420697796,58.070770338706744,463.6242079990017,50.0,67.5,117.5,162.5,195,3037126,0.651,0.905,17,19,1.7447233200073242,1.1036024281853123,5833.5,5756.5
2020062,2020,7,14,Omega block,133.2946394007314,55.15761237355165,347.6892499639802,50.0,60.0,120.0,155.0,196,1899477,0.534,0.854,18,19,1.4361977577209473,0.8382095531983809,5804.8,5748.8
2020062,2020,7,15,Omega block,134.22059505541935,52.842496940177085,264.44078552152445,50.0,57.5,125.0,145.0,197,920865,0.408,0.841,19,19,1.2511134147644043,0.9181290864944458,5771.2,5732.8
2020063,2020,6,29,Ridge,-82.7956654860777,51.62757182721091,,45.0,60.0,-92.5,-70.0,181,1662875,,,1,13,1.8600225448608398,1.5140441485813685,5839.5,5807.1
2020063,2020,6,30,Omega block,-75.63577809608304,50.60319865238238,512.3691725861979,45.0,57.5,-102.5,-32.5,182,5225109,0.977,0.311,2,13,2.565896511077881,1.6903313825715263,5884.2,5836.0
2020063,2020,7,1,Rex block (hybrid),-88.0310890930369,54.17078481954269,928.3773073621256,45.0,70.0,-127.5,-35.0,183,5987941,0.734,0.641,3,13,2.5078177452087402,1.7857163930110793,5877.8,5793.8
2020063,2020,7,2,Rex block (hybrid),-98.3357451553873,57.169321570027236,726.1304901879873,45.0,72.5,-132.5,-75.0,184,4452106,0.561,0.755,4,13,3.1031250953674316,1.8668677495873494,5890.2,5789.7
2020063,2020,7,3,Ridge,-92.54401050955622,49.13161153890664,972.7939380099187,45.0,57.5,-112.5,-75.0,185,2437536,0.43,0.785,5,13,2.852332592010498,2.087492495775223,5902.8,5854.6
2020063,2020,7,4,Ridge,-95.29514169366173,48.02480314543551,236.84984574900875,45.0,52.5,-115.0,-77.5,186,2281659,0.831,0.888,6,13,1.9402503967285156,1.436429132114757,5889.2,5846.4
2020063,2020,7,5,Ridge,-96.39090175430307,46.782095856257406,160.916066747274,45.0,50.0,-112.5,-80.0,187,1535012,0.673,1.0,7,13,1.273643970489502,1.0564989057080498,5886.0,5840.9
2020063,2020,7,6,Ridge,-93.76609465555875,45.845936183479346,226.8658989107709,45.0,47.5,-112.5,-77.5,188,1236961,0.736,0.914,8,13,1.2702584266662598,1.1224865913391113,5859.8,5834.5
2020063,2020,7,7,Ridge,-87.9563394634383,45.46185159923472,453.4720150918811,45.0,47.5,-110.0,-70.0,189,1137446,0.66,0.718,9,13,1.22452974319458,1.1524938401721774,5848.5,5834.4
2020063,2020,7,8,Ridge,-86.6991711126641,45.6360839147024,99.79288918730728,45.0,47.5,-102.5,-67.5,190,1080383,0.672,0.708,10,13,1.1681914329528809,1.0193485021591187,5856.5,5829.9
2020063,2020,7,9,Ridge,-81.96367754501618,45.79335134033163,368.0243169864161,45.0,47.5,-97.5,-67.5,191,1023320,0.754,0.796,11,13,1.367044448852539,1.1963449026408948,5862.5,5834.2
2020063,2020,7,10,Ridge,-73.20380007218499,46.96568976194467,684.1195451957781,45.0,50.0,-85.0,-62.5,192,1162456,0.631,0.556,12,13,1.6521930694580078,1.1979525739496404,5881.0,5842.1
2020063,2020,7,11,Ridge,-65.09462649924978,47.21994715878304,614.2617053155382,45.0,50.0,-72.5,-57.5,193,996038,0.5,0.584,13,13,1.552116870880127,1.2017193593476947,5875.0,5840.1
2020064,2020,7,2,Ridge,36.85768243781858,46.04218806485696,,45.0,47.5,17.5,55.0,184,1448168,,,1,17,1.3468027114868164,1.183336752432364,5828.8,5816.4
2020064,2020,7,3,Ridge,43.9557774185513,48.023015408666495,581.017281284449,45.0,52.5,27.5,60.0,185,2169868,0.777,0.519,2,17,1.3030171394348145,1.0773366405850364,5844.8,5824.9
2020064,2020,7,4,Ridge,45.17998489397395,48.84886629484016,128.79637483039357,45.0,55.0,27.5,60.0,186,2498713,1.0,0.868,3,17,1.713550090789795,1.122977538984649,5863.0,5835.8
2020064,2020,7,5,Ridge,46.57511429935531,48.374437248016996,115.33559580202193,45.0,52.5,32.5,57.5,187,1804911,0.722,1.0,4,17,1.6920208930969238,0.9873267582484654,5844.0,5826.1
2020064,2020,7,6,Ridge,48.36960451979868,47.432761356539494,169.8671968071923,45.0,50.0,40.0,55.0,188,996038,0.552,1.0,5,17,1.3441801071166992,0.8853222194470858,5833.0,5819.5
2020064,2020,7,7,Omega block,53.76388926877535,54.77961462507123,898.9224060140917,45.0,62.5,45.0,70.0,189,1936902,0.786,0.404,6,17,2.7070164680480957,1.7888557079226473,5833.0,5811.2
2020064,2020,7,8,Omega block,57.642963134333186,56.61815461241309,317.5315293949065,45.0,62.5,45.0,75.0,190,2508433,0.846,0.653,7,17,3.0376791954040527,2.195131573183783,5878.0,5837.8
2020064,2020,7,9,Omega block,36.281126446830044,52.27409468458771,1456.0460979823663,45.0,62.5,-32.5,75.0,191,4436938,0.713,0.403,8,17,3.6095380783081055,1.6229853525266542,5898.8,5849.0
2020064,2020,7,10,Omega block,35.6667276066397,50.241043018736825,230.07015605082103,45.0,60.0,-30.0,67.5,192,5001902,0.767,0.68,9,17,3.1884312629699707,1.3644149809172659,5888.5,5843.9
2020064,2020,7,11,Ridge,46.072134229379586,49.850972845854315,743.669286145877,45.0,55.0,10.0,70.0,193,4566987,0.631,0.691,10,17,2.034926414489746,1.4051809415712462,5879.5,5846.5
2020064,2020,7,12,Omega block,53.19690363148205,50.745622831822246,515.5428171991913,45.0,57.5,32.5,70.0,194,3669907,0.712,0.886,11,17,1.728212833404541,1.2831578254699707,5877.5,5842.5
2020064,2020,7,13,Omega block,58.674677753195766,52.639200907329744,432.1477674766109,47.5,57.5,42.5,72.5,195,2323724,0.551,0.87,12,17,1.6196489334106445,1.3692235946655273,5858.5,5828.8
2020064,2020,7,14,Omega block,61.21319987278635,52.1762412916001,179.71506990646517,45.0,60.0,47.5,77.5,196,3292496,0.902,0.637,13,17,1.8748164176940918,1.4862424986703056,5879.2,5845.7
2020064,2020,7,15,Omega block,65.52635757327207,52.67280980853518,297.5822448390798,45.0,60.0,47.5,85.0,197,3579526,0.848,0.78,14,17,2.3552417755126953,1.7233643092607196,5894.5,5858.9
2020064,2020,7,16,Omega block,67.80049417516008,53.33811223825554,169.18287411306684,47.5,60.0,52.5,85.0,198,3139621,0.823,0.939,15,17,2.287161350250244,1.7998183474821203,5872.8,5848.5
2020064,2020,7,17,Omega block,69.62196959188331,56.619585633595115,382.9135301882694,52.5,62.5,60.0,80.0,199,1611678,0.455,0.886,16,17,2.3923397064208984,1.9773586800223903,5862.2,5836.6
2020064,2020,7,18,Omega block,70.57675577638464,56.90427234466997,66.24443995997046,55.0,60.0,65.0,77.5,200,589292,0.366,1.0,17,17,1.8346190452575684,1.7328134604862757,5837.5,5822.8
2020065,2020,7,5,Ridge,-29.059575595804578,45.0,,45.0,45.0,-42.5,-17.5,187,600907,,,1,4,1.460576057434082,1.2350407513705166,5935.0,5909.5
2020065,2020,7,6,Ridge,-21.450474201756556,46.46310564431515,612.3103818721523,45.0,50.0,-42.5,-2.5,188,1649238,1.0,0.364,2,4,1.6524314880371094,1.3954289497867707,5923.0,5890.6
2020065,2020,7,7,Ridge,-16.079584825601042,46.526243295184535,411.1170300475268,45.0,50.0,-37.5,7.5,189,1860345,0.842,0.746,3,4,1.6167283058166504,1.4053515025547572,5892.2,5860.2
2020065,2020,7,8,Ridge,-13.453719731589027,46.36179238801037,202.01436849826064,45.0,50.0,-35.0,10.0,190,1810687,0.889,0.914,4,4,1.4814376831054688,1.259391798692591,5904.0,5863.1
2020066,2020,7,12,Ridge,-56.14999189815209,46.88894892969067,,45.0,50.0,-65.0,-50.0,194,894186,,,1,11,1.5714168548583984,1.2135407503913431,5886.0,5842.7
